QUIZ BASE 2022 PATENTE NAUTICA,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RISPOSTA 1                    V/F,,,,,,,RSPOSTA 2                        V/F,,,,,RISPOSTA 3                         V/F,,,
1,,,,,"Com'è denominata la massima lunghezza dell'unità navale, cioè quella misurata tra le estremità prodiera e poppiera?",,,,lunghezza tra le perpendicolari.,,,F,,,,lunghezza al galleggiamento.,,F,,,lunghezza fuori tutto.,,,V
2,,,,,Cosa si intende per asse longitudinale di un'unità navale?,,,,l'asse di rotazione di riferimento per il movimento di beccheggio.,,,F,,,,"l'asse passante per la prua e la poppa, parallelo alla chiglia.",,V,,,"l'asse orizzontale compreso tra le due murate, posto perpendicolarmente a quello trasversale.",,,F
3,,,,,Quale funzione svolge la sentina di un'unità navale?,,,,contenere il carburante.,,,F,,,,contenere le acque sporche e i residui liquidi.,,V,,,contenere le acque dolci.,,,F
4,,,,,Le murate sono:,,,,la porzione esterna e laterale dello scafo (opera morta) che si estende tra la prora e la poppa.,,,V,,,,la superficie laterale verticale della tuga dell'unità navale.,,F,,,la paratia divisoria verticale che separa due locali posti all'interno dello scafo.,,,F
5,,,,,Cos'è il ponte di coperta?,,,,"il ponte che si estende longitudinalmente e trasversalmente, in modo continuo, racchiudendo interamente lo scafo.",,,V,,,,la superficie orizzontale atta a ricoprire la parte più alta dell'unità.,,F,,,la struttura che ricopre le cabine.,,,F
6,,,,,Cosa si intende per prua dell'unità?,,,,la parte priva di  spigoli  dello scafo.,,,F,,,,la parte estrema posteriore dello scafo.,,F,,,la porzione anteriore posta all'estremità dell'unità.,,,V
7,,,,,Cosa si intende per poppa di un'unità?,,,,lla parte più arrotondata dello scafo.,,,F,,,,la porzione posteriore posta all'estremità dello scafo.,,V,,,la porzione estrema anteriore dello scafo.,,,F
8,,,,,Cosa si intende per specchio di poppa di un'unità?,,,,la porzione esterna e superiore della poppa.,,,V,,,,la paratia interna che separa gli organi del timone dal resto delle cabine.,,F,,,la superficie verticale interna del poz,,,F
9,,,,,Cosa si intende per locale macchine o locale apparato motore di un'unità?,,,,l'ambiente di bordo dove sono sistemati i motori principali e la gran parte dei sistemi ausiliari.,,,V,,,,"il locale di bordo, generalmente situato a poppa, individuato come garage.",,F,,,l'ambiente dovo sono collocati esclusivamente i sistemi ausiliari.,,,F
10,,,,,"Con riferimento alla figura, quale porzione dello scafo è indicata dalle linee trasversali?",,,specchio di poppa.,,,,F,,,opera viva.,,,V,,opera morta.,,,,F
11,,,,,"Con riferimento al disegno rappresentato in figura, quale porzione dello scafo è indicata dalle linee trasversali?",,,opera morta.,,,,V,,,specchio di poppa.,,,F,,opera viva.,,,,F
12,,,,,Da cosa dipende la coppia di stabilità di forma di un'unità navale?,,,dal peso.,,,,F,,,dalla forma della carena.,,,V,,dalla lunghezza tra le perpendicolari.,,,,F
13,,,,,"Gli elementi che suddividono lo scafo in senso trasversale, sono:",,,le paratie.,,,,V,,,gli osteriggi.,,,F,,i boccaporti.,,,,F
14,,,,,Lo specchio di poppa è:,,,la parte della poppa al di sopra del dritto di poppa.,,,,V,,,l'apertura della poppa negli scafi autosvuotanti.,,,F,,il fondo del pozzetto in cui è alloggiata la barra del timone.,,,,F
15,,,,,La parte emersa dell'unità è denominata:,,,sezione maestra.,,,,F,,,opera morta.,,,V,,opera viva.,,,,F
16,,,,,La parte sommersa dell'unità è denominata:,,,opera viva.,,,,V,,,opera morta.,,,F,,bordo libero.,,,,F
17,,,,,"La ""galloccia"" è:",,,un foro per l'uscita dell'acqua dal pozzetto.,,,,F,,,un sistema per tendere le draglie.,,,F,,un appiglio per rinviare e/o dare volta al cavo di ormeggio oppure ad una cima di bordo (come drizze/scotte).,,,,V
18,,,,,La bitta è:,,,un foro per l'uscita dell'acqua dal pozzetto.,,,,F,,,un tornichetto per tendere le draglie.,,,F,,"bassa e robusta colonnetta, generalmenete con una testa a fungo, posta sulle banchine e sui ponti delle navi per legarvi le catene o i cavi di ormeggio;",,,,V
19,,,,,Il gavone di un'imbarcazione da diporto è:,,,"il vano-ripostiglio, sia di prora sia di poppa.",,,,V,,,quella parte curva dello scafo prossima alla prora.,,,F,,quella parte arrotondata dello scafo prima della poppa.,,,,F
20,,,,,La freccia verso l'unità rappresentata in figura a fianco indica il:,,,mascone di sinistra.,,,,V,,,giardinetto di sinistra.,,,F,,dritto di prora.,,,,F
21,,,,,La freccia verso l'unità rappresentata in figura a fianco indica il:,,,mascone di dritta.,,,,V,,,giardinetto di dritta.,,,F,,dritto di prora.,,,,F
22,,,,,Il pescaggio di un'imbarcazione è:,,,la distanza verticale tra la linea di galleggiamento e il punto inferiore estremo dello scafo.,,,,V,,,il peso totale della nave.,,,F,,la distanza tra la chiglia dell'unità e il fondo del mare.,,,,F
23,,,,,L'ordinata maestra è quella:,,,di maggior spessore.,,,,F,,,che corrisponde alla sezione maestra dello scafo dell'unità.,,,V,,indicata con il numero 1.,,,,F
24,,,,,La freccia verso l'unità rappresentata in figura a fianco indica il:,,,giardinetto di dritta.,,,,V,,,babordo.,,,F,,mascone di dritta.,,,,F
25,,,,,La freccia verso l'unità rappresentata in figura a fianco indica il:,,,giardinetto di sinistra.,,,,V,,,babordo.,,,F,,mascone di sinistra.,,,,F
26,,,,,L'ombrinale è:,,,il foro attraverso cui passa la catena dell'ancora quando viene dato fondo.,,,,F,,,"la parte più bassa dello scafo, immediatamente al di sotto del motore, dove si raccolgono eventuali perdite di fluidi.",,,F,,una piccola apertura per far defluire l'acqua presente in coperta o nel pozzetto,,,,V
27,,,,,La sentina di un'unità è lo spazio compreso tra:,,,la poppa e la prima paratia.,,,,F,,,la dritta e la sinistra dell'unità.,,,F,,il fondo all'interno dello scafo e il pagliolo (o pagliolato).,,,,V
28,,,,,La linea che separa l'opera viva dall'opera morta è denominata:,,,linea di bordo libero.,,,,F,,,linea di galleggiamento.,,,V,,linea di chiglia.,,,,F
29,,,,,Come si chiama il pavimento interno di un'imbarcazione da diporto?,,,murata.,,,,F,,,pagliolato.,,,V,,dormiente.,,,,F
30,,,,,La battagliola è:,,,un'apertura praticata in coperta.,,,,F,,,un punto specifico della murata ove appoggiare i parabordi tutte le volte che si esegue l'ormeggio di fianco.,,,F,,una sorta di ringhiera laterale per aiutare il passaggio tra poppa e prora.,,,,V
31,,,,,"Quale affermazione, tra le seguenti, è corretta:",,,l'insieme di draglie e candelieri costituisce la battagliola a protezione del camminamento per il passaggio tra poppa e prora.,,,,V,,,la stazza esprime la larghezza totale della scafo.,,,F,,l'opera viva è la parte emersa dello scafo.,,,,F
32,,,,,Lo scafo di un'unità da diporto è la:,,,sezione maestra dell'opera morta.,,,,F,,,sezione maestra dell'opera viva.,,,F,,struttura che costituisce il guscio dell'unità.,,,,V
33,,,,,"La ""losca"" è:",,,un foro per il quale passa la catena dell'ancora quando viene dato fondo.,,,,F,,,"un'apertura, ricavata nella poppa, per la quale passa l'asse del timone.",,,V,,"la parte più bassa dello scafo, immediatamente al di sotto del motore, dove si raccolgono eventuali perdite di fluidi.",,,,F
34,,,,,Il beccheggio è l'oscillazione dell'unità intorno al suo asse:,,,trasversale.,,,,V,,,longitudinale.,,,F,,verticale.,,,,F
35,,,,,"La parte strutturale della poppa, alla quale si incardina il timone, se esterno, è:",,,il dritto di poppa.,,,,V,,,la losca del timone.,,,F,,il ginocchio di poppa.,,,,F
36,,,,,"Le strutture verticali, che suddividono internamente lo scafo, sono:",,,le murate.,,,,F,,,le paratie.,,,V,,il pagliolato.,,,,F
